sample	n_Treg	nrel_Treg_T	n_cd45p	nrel_Treg_cd45p	has_mpif
SPECTRUM-OV-007_S1_CD45P_INFRACOLIC_OMENTUM	642	20	3715	17	TRUE
SPECTRUM-OV-007_S1_CD45P_ANTERIOR_ABDOMINAL_WALL	499	18	3242	15	TRUE
SPECTRUM-OV-071_S1_CD45P_LEFT_OVARY	514	20	3502	15	FALSE
SPECTRUM-OV-007_S1_CD45P_BOWEL	346	16	2559	14	TRUE
SPECTRUM-OV-007_S1_CD45P_LEFT_ADNEXA	280	17	2102	13	FALSE
SPECTRUM-OV-045_S1_CD45P_INFRACOLIC_OMENTUM	632	27	4738	13	TRUE
SPECTRUM-OV-002_S1_CD45P_INFRACOLIC_OMENTUM	299	14	2763	11	TRUE
SPECTRUM-OV-002_S1_CD45P_RIGHT_OVARY	273	15	2797	9.8	FALSE
SPECTRUM-OV-077_S1_CD45P_CECUM	502	16	5169	9.7	FALSE
SPECTRUM-OV-008_S1_CD45P_BOWEL	429	12	4502	9.5	TRUE
SPECTRUM-OV-045_S1_CD45P_LEFT_OVARY	479	13	5024	9.5	TRUE
SPECTRUM-OV-007_S1_CD45P_ASCITES	254	11	2744	9.3	FALSE
SPECTRUM-OV-041_S1_CD45P_INFRACOLIC_OMENTUM	421	13	4619	9.1	TRUE
SPECTRUM-OV-008_S1_CD45P_LEFT_PARARENAL_LYMPH_NODE_WITH_COLONIC_MESENTARY	287	14	3228	8.9	FALSE
SPECTRUM-OV-110_S1_CD45P_BOWEL	358	22	4079	8.8	FALSE
SPECTRUM-OV-026_S1_CD45P_LEFT_ADNEXA	357	20	4108	8.7	FALSE
SPECTRUM-OV-068_S1_CD45P_ASCITES	81	13	947	8.6	FALSE
SPECTRUM-OV-071_S1_CD45P_ASCITES	291	11	3520	8.3	FALSE
SPECTRUM-OV-067_S1_CD45P_RIGHT_OVARY_AND_TUBE	277	16	3373	8.2	FALSE
SPECTRUM-OV-110_S1_CD45P_INFRACOLIC_OMENTUM	341	23	4207	8.1	FALSE
SPECTRUM-OV-026_S1_CD45P_RIGHT_OVARY	268	19	3544	7.6	FALSE
SPECTRUM-OV-110_S1_CD45P_PELVIC_PERITONEUM	337	26	4496	7.5	FALSE
SPECTRUM-OV-045_S1_CD45P_RIGHT_OVARY	352	15	4742	7.4	TRUE
SPECTRUM-OV-090_S1_CD45P_BOWEL	172	14	2355	7.3	FALSE
SPECTRUM-OV-054_S1_CD45P_ASCITES	136	9.7	1931	7	FALSE
SPECTRUM-OV-053_S1_CD45P_INFRACOLIC_OMENTUM	174	13	2598	6.7	TRUE
SPECTRUM-OV-053_S1_CD45P_LEFT_OVARY	328	16	4999	6.6	FALSE
SPECTRUM-OV-071_S1_CD45P_PELVIC_PERITONEAL_TUMOUR	232	12	3541	6.6	FALSE
SPECTRUM-OV-041_S1_CD45P_RIGHT_FALLOPIAN_TUBE	391	10	5998	6.5	FALSE
SPECTRUM-OV-053_S1_CD45P_RIGHT_OVARY	113	14	1743	6.5	FALSE
SPECTRUM-OV-081_S1_CD45P_RIGHT_ADNEXA	153	12	2342	6.5	FALSE
