sample	n_Treg	nrel_Treg_T	n_cd45p	nrel_Treg_cd45p	has_mpif
SPECTRUM-OV-007_S1_CD45P_INFRACOLIC_OMENTUM	642	20	3715	17	TRUE
SPECTRUM-OV-045_S1_CD45P_INFRACOLIC_OMENTUM	632	27	4738	13	TRUE
SPECTRUM-OV-002_S1_CD45P_INFRACOLIC_OMENTUM	299	14	2763	11	TRUE
SPECTRUM-OV-045_S1_CD45P_LEFT_OVARY	479	13	5024	9.5	TRUE
SPECTRUM-OV-041_S1_CD45P_INFRACOLIC_OMENTUM	421	13	4619	9.1	TRUE
SPECTRUM-OV-045_S1_CD45P_RIGHT_OVARY	352	15	4742	7.4	TRUE
SPECTRUM-OV-053_S1_CD45P_INFRACOLIC_OMENTUM	174	13	2598	6.7	TRUE
SPECTRUM-OV-024_S1_CD45P_INFRACOLIC_OMENTUM	237	8.7	3690	6.4	TRUE
SPECTRUM-OV-036_S1_CD45P_INFRACOLIC_OMENTUM	214	8	3536	6.1	TRUE
SPECTRUM-OV-036_S1_CD45P_RIGHT_ADNEXA	264	9.2	4322	6.1	TRUE
SPECTRUM-OV-049_S1_CD45P_INFRACOLIC_OMENTUM	218	11	4063	5.4	TRUE
SPECTRUM-OV-008_S1_CD45P_INFRACOLIC_OMENTUM	202	6	4180	4.8	TRUE
SPECTRUM-OV-050_S1_CD45P_RIGHT_OVARY	173	13	3615	4.8	TRUE
SPECTRUM-OV-025_S1_CD45P_INFRACOLIC_OMENTUM	112	18	2360	4.7	TRUE
SPECTRUM-OV-037_S1_CD45P_INFRACOLIC_OMENTUM	119	5.7	3962	3	TRUE
SPECTRUM-OV-009_S1_CD45P_RIGHT_OVARY	116	12	4885	2.4	TRUE
SPECTRUM-OV-009_S1_CD45P_LEFT_OVARY	77	8.4	4177	1.8	TRUE
SPECTRUM-OV-022_S1_CD45P_RIGHT_ADNEXA	62	8	3887	1.6	TRUE
SPECTRUM-OV-052_S1_CD45P_INFRACOLIC_OMENTUM	73	17	4470	1.6	TRUE
SPECTRUM-OV-037_S1_CD45P_LEFT_OVARY	51	2.9	4346	1.2	TRUE
SPECTRUM-OV-050_S1_CD45P_LEFT_OVARY	39	8.8	3899	1	TRUE
SPECTRUM-OV-050_S1_CD45P_INFRACOLIC_OMENTUM	4	19	2316	0.17	TRUE
